Timestring,Error_std,Error_mean
2022-04-13_214239,0.01089618001668616,0.010556375316629594
2022-04-13_214525,0.0108648876937263,0.012714530816064988
2022-04-13_214822,0.012691258445153479,0.01346167352061534
2022-04-13_215111,0.011170397710561811,0.008091564111758792
2022-04-13_215355,0.014537662677061105,0.02013292050691244
2022-04-13_215637,0.008787139565848048,0.006846006462294411
2022-04-13_215917,0.007698175135325107,0.0039843430509354984
2022-04-13_220202,0.01146345994551554,0.01737920527768761
2022-04-13_220446,0.012929868150509873,0.01655722254592127
2022-04-13_220730,0.011740615191082193,0.015871355610754128
2022-04-13_221008,0.019557535980846735,0.029111961153174923
2022-04-13_221245,0.010136007261741643,-0.007246019463312412
2022-04-13_221524,0.02259578678260734,0.039630480133285906
2022-04-13_222214,0.009892691826615655,-0.003670502313828721
2022-04-13_222925,0.022181018264254723,0.03832414758616708
2022-04-13_223612,0.08921573170155415,-0.1554521751704248
2022-04-13_224258,0.016783106969700246,-0.02454198742891721
2022-04-13_224945,0.010652266852781148,-0.009678209339172525
2022-04-13_225642,0.013551735876848997,0.021088168291777308
2022-04-13_230329,0.018150045556995932,0.03150982409894103
2022-04-13_231023,0.022092867739263975,0.03768362542090113
2022-04-13_231729,0.031792973503551834,0.056021180799279854
2022-04-13_232418,0.010456073341501353,-0.006462504185620763
2022-04-13_233113,0.011072186551050306,0.011201855922740984
2022-04-13_233818,0.036525252592927,0.06213435194054363
2022-04-13_234524,0.026452155773493947,0.044575263467974295
2022-04-13_235219,0.02400290060428204,0.04042867401668544
2022-04-13_235906,0.027745127040868064,-0.04501205344860131
2022-04-14_000604,0.008859430220093651,-0.0033616583249407367
2022-04-14_001258,0.008934198468194102,4.4056329538960735e-05
2022-04-14_001956,0.01599559776900982,0.025767087822097474
2022-04-14_002704,0.02639121852910321,0.04637435243537716
2022-04-14_003502,0.03140595329599481,0.051486208584660235
2022-04-14_004211,0.010126569355240358,0.013451762725881056
2022-04-14_004854,0.032545268056002864,0.05422630614708959
2022-04-14_005544,0.009761556584724482,-0.006258229074824368
2022-04-14_010240,0.045372368303328206,0.07711101737257764
2022-04-14_010931,0.01179608101361086,0.015752530193785724
2022-04-14_011626,0.19033655305348246,-0.32782734434505717
2022-04-14_012317,0.01925196439308448,-0.02796942600349539
2022-04-14_013011,0.009514454734046758,-0.004313392984303308
2022-04-14_013710,0.008613406540970876,0.001443668553727856
2022-04-14_014413,0.019305435455313394,0.03267235646127713
